Athey, Tom~Austin, Tx~615~Photography
Austin Art Glass~Austin, Tx~100~Glass - Blown
Bailey, Margaret~Austin, Tx~106~Jewelry
Balkan, Jennifer~Austin, Tx~604~Painting
Bates, Tom~Temple, Tx~104~Painting
Best of Zuni~Capitan, NM~307~Jewelry/Fetishes
Blair, Sandra~New Orleans, La~207~Mixed Media
Bryant, Randy~Midland, Tx~303~Jewelry
Buckhout, Diane~Kingwood, Tx~111~Painting
Burns, Ken~Austin, Tx~309~Sculpture
Carpenter, Ken~Murchison, Tx~407~Jewelry
Crisman, Meredy~Austin, Tx~309~Ceramics
Day, Patrici~Dripping Springs, Tx~103~Fiber
DeShong, Joanne~Marble Falls, Tx~112~Painting
Double K Enterprises~San Marcos, Tx~113~Jewelry
Easterwood, Coco~Houston, Tx~109~Painting
Easterwood, Megan~Austin, Tx~414~Painting
Ehrlich, R. Alan~Austin, Tx~402~Pastels*
Elmore, Don~Waco, Tx~612~Drawing/Printmaking
Erlon, Julie~Red Rock, Tx~215~Glass/Lampworking*
Fowler, Susie~Spicewood, Tx~305~Ceramics*
Frazier, Jan~Hutto, Tx~200~Drawing/Pastel
Friddle, Joe~Killeen, Tx~301~Painting
Fulton, Mary~Wimberly, Tx~403~Ceramics
Garlitz, Deda~Kerrville, TX~308A~Graphics/Printmaking
Gibson, Colleen~Castroville, Tx~205~Painting*
Gibson, Sage~San Antonio, Tx~404~Painting*
Gooden, Jeanie~Tulsa, Ok~306~Painting
Gould, Zonella~Clifton, Tx~211~Jewelry
Gray, Susan~Round Rock, Tx~202~Jewelry
Grimmer, Margaret Fulton~Kingwood, Tx~400~Painting
Guy, Rebecca~Austin, Tx~214~Painting/Mixed Media*
Hamilton, Janice~Dallas, Tx~208~Drawing/Pastel
Heinrichs, Anne~Cedar Park, Tx~606~Mixed Media
Images of the Heart & Soul~Round Rock, Tx~202~Jewelry
Jackson, Monroe~Midland, Tx~110~Jewelry
Jameson, Betty~Austin, Tx~406~Painting*
Kemp, Sue~Austin, Tx~101~Painting
Kneeland, Valerie~Fredricksburg, Tx~613~Printmaking/Mixed Media
Koneval, Amy~Richardson, Tx~415~Mixed Media/Calligraphy
Koukl, James~Tyler, TX~308B~Painting
LaFery, Dea~Teague, Tx~605~Painting
Lee, Alfred~Houston, Tx~413~Mixed Media
Lewis, Dale~Oneonta, Al~216~Wood
Lopez, John~Corrales, NM~412~Jewelry
Maines, Marie~Cedar Park, Tx~411~Drawing/Pastel
Martin, Kay~Austin, Tx~304~Painting/Mixed Media*
Matlock, Gabrielle~Spicewood, Tx~206~Drawing
May, Phillip~Canyon Lake, Tx~314~Ceramics
Meeks, Jan~Harwood, Tx~611~Glass Fabrication
Mills, Valencia~Austin, Texas~310~Sculpture
Montano, Arturo~Santa Fe, NM~408~Mixed Media
Napper, Steven~Ingram, Tx~300~Drawing/Pastel
Nienaber, Tommy~Rockdale, Tx~607~Sculpture
Nicks, Lisa~Austin, Tx~302~Mixed Media
Nowell, Linda~Pampa, Tx~602~Ceramics
Oertli, Doug~San Angelo, Tx~616~Ceramics
Patterson, Carolyn~Austin, Tx~105~Painting
Perez, Barry~Elgin, Tx~204~Jewelry
Pritchard,Charley & Holly~Luling, Tx~102~Ceramics*
Quillin, Sally~Las Cruces, NM~601~Painting
Reed, Jack~Austin, Tx~210~Drawing/ Graphite
River of Stone Designs~Austin, Tx~108~Wood
Ross, Lee~Austin, Tx~409~Painting
Rummel, Jim~Austin, Tx~312~Mixed Media
Rufenacht, Charlotte~San Angelo, Tx~616~Ceramics
Sevcik, Sue~Austin, Tx~313~Jewelry
Shipley, Hal~Harwood, Tx~611~Glass - Stained
Spears, Melodie~Austin, Tx~614~Painting
Spence, Betty~Austin, Tx~213~Painting
Timmerman, Craig~Austin, Tx~203~Woodturning
Tonips, Gordon~Ft. Worth, Tx~311~Sculpture
Tooker, Harry~CopperasCove, Tx~410~Wood/Gourds*
Vasconcellos, Jude~Bastrop, Tx~401~Sculpture
Versaggi, Tatjana~Austin, Tx~600~Painting*
V.S.A. Arts of Texas~Austin, Tx~416~Painting/Mixed Media*
Water Gives Life~Austin, Tx~405~Fiber/Basketweaving
Westerfield, Ja Juana~Crawford, Tx~212~Painting
Wilson, Greg~Bastrop, Tx~401~Sculpture
Wilson, Kate~Austin, Tx~310~Sculpture
Wilson, Michael J~Norman, Ok~603~Printmaking
Wood, Christie~Denton, Tx~209~Glass/Stained
