Adkisson, Carolyn~Ft. Worth, Tx~313~Ceramics*
Arnold, Kathy & Gary~Wimberley, Tx~309~Jewelry
Ashley, Frances~Austin, Tx~206~Painting/Drawing
Athey, Tom~Austin, Tx~514~Photography
Bates, Tom~Walberg, Tx~112~Painting/Drawing
Becker, Sabine~El Prado, NM~606~Mixed Media*
Bellah, Mickie~Austin, Tx~402~Painting/Drawing*
Best of Zuni~Capitan, NM~204,210,211~Jewelry/Fetishes
Blair, Sandra~Hammond, La~311~Painting/Drawing
Boling, Mark & Anna~San Marcos, Tx~100,101~Wood Furniture
Boutwell, George~Clifton, Tx~704,705~Painting/Drawing
Brem, Jerry~Lorena, Tx~215~Painting/Drawing
Buckhout, Diane ~Kingwood, Tx~304~Painting/Drawing
Burnett, Lorie~Diana, Tx~608~Fiber
Carpenter, Ken~Murchison, Tx~503~Jewelry
Clerc, Cynthia~Austin, Tx~106~Mixed Media
Colburn, Daryl~Austin, Tx~415~Sculpture
Collins, Eileen~Cedar Creek, Tx~602~Ceramics
Condra, Brazos~Pflugerville, Tx~310~Ceramics
Conway, Cie~Wimberley, Tx~412~Sculpture
Cook, Marla~Arlington, Tx~409~Mixed Media
Cooper, Charlene~Fair Oaks Ranch, Tx~203~Wood 
Day, Cherry~Whitehouse, Tx~213~Sculpture
Day, Jim~Whitehouse, Tx~214~Sculpture
Day, Patricia~Dripping Springs, Tx~114~Fiber
Dickinson, Kathleen~Lago Vista, Tx~108~Mixed Media
Dillon, Judy~Austin, Tx~103~Ceramics
Disney, Roger~Edmond, Ok~308~Painting/Drawing
Double K Enterprises~Buda, Tx~314,315~Jewelry
Erlon, Julie~Red Rock, Tx~602~*Glass/Lampworking
Etie, Michael J.~Austin, Tx~407~Painting/Drawing
Felps, Roger~Blanco, Tx~500~Wood
Friddle, Joe~Kileen, Tx~609~Painting/Drawing
Friedman, Rae~San Marcos, Tx~501~Painting/Drawing
Giller, Benita~Austin, Tx~505~Jewelry
Good Turns~Chappell Hill, Tx~507~Wood
Greene, Carolyn~Austin, Tx~105~Jewelry
Griffith, Brenda~Atlanta, Ga~406~Glass
Grimmer, Margaret Fulton~Kingwood, Tx~212~Painting/Drawing
Gross, Aaron~Austin, Tx~708~Glass
Guy, Rebecca~Allen, Tx~300~Mixed Media*
Ham, Ethan~Austin, Tx~506~Photography*
Hatton, Judie Jensen~Austin, Tx~305~Mixed Media
Heinrichs, Anne~Cedar Park, Tx~401~Mixed Media
Herbst, Cynthia~Austin, Tx~606~Jewelry
Herzog, Britta~Pflugerville, Tx~115~Painting/Drawing
Hodgins, Rick~Austin, Tx~111~Painting/Drawing
Hooper, Jason~Austin, Tx~104~Ceramics
Hopps, Joseph~Brownsboro, Tx~200~Mixed Media
Jacobson, Pauline Walsh~Austin, Tx~400~Painting & Photography
Jameson, Betty~Austin, Tx~513~Mixed Media
Janssen, Lesley~Kansas City, Mo~307~Jewelry
Kegley, Tami & Charles~Boerne, Tx~404~Jewelry
Kelly, Ty~Oklahoma City, Ok~410~Painting/Drawing
Kincaid, Gail~Austin, Tx~201~Jewelry
Kneeland, Valerie~Fredricksburg, Tx~306~Graphics
LaBarbera, Matthew~Austin, Tx~605~Glass
Landrum, Bernice~Abilene, Tx~603~Painting/Drawing
Martin, Kay~Austin, Tx~113~Mixed Media
Maxwell, Sally~La Grange, Tx~509~Painting/Drawing*
May, Phillip~Canyon Lake, Tx~502~Ceramics
McCandless, Robert~Austin, Tx~607~Glass
Meeks, Jan~Harwood, Tx~702~Glass Fabrication
Melstrom, William~Austin, Tx~703~Ceramics
Mercado, John~Houston, Tx~413~Painting/Drawing
Muenzenmayer, Ken~Brenham, Tx~504~Painting/Drawing
Nicks, Lisa~Austin, Tx~508~Mixed Media
Norris, Kim~Keller, Tx~301~Ceramics
Patrik, Jon-Paul~Austin, Tx~408~Jewelry
Pena, Amado~Santa Fe, NM~700,701~Painting/Drawing
Perez, Barry~Elgin, Tx~302~Jewelry
Phipps, Doris~Blanco, Tx~109~Wood
Pickering, Pam~Houston, Tx~208~Glass Fabrication*
Primer, Kay~San Marcos, Tx~207~Sculpture
Reed, Jack~Austin, Tx~512~Painting/Drawing
Reese, Claudia~Austin, Tx~411~Ceramics
Reich, Alfred~Austin, Tx~403~Photography
Russell, Cosette~Austin, Tx~110~Fiber
Russell, Geoff~Sulphur, La~102~Photography
Schenck, Nina~Austin, Tx~205~Painting/Drawing
Shipley, Hal~Harwood, Tx~702~Glass/Stained
Spears Schmidt, Melodie~Austin, Tx~601~Painting/Drawing
Steinhagen, Denise/Diana~San Marcos, Tx~414~Jewelry
Streicher, Wanda~Midland, Tx~600~Jewelry
Sullivan, Elizabeth~Austin, Tx~202~Mixed Media*
Technology and Inclusion~Austin, Tx~604~Mixed Media
Thompson, Tommy~Fort Worth, Tx~312~Painting/Drawing
Tindell, Anne Kaestner~Nacogdoches, Tx~515~Jewelry
Tolar, Rick~Austin, Tx~107~Photography
Tolar, Sherry~San Antonio, Tx~107~Ceramics
Ueltschey, Teresa~Austin, Tx~605~Glass
Van De Zande, Sacha~San Antonio, Tx~510~Jewelry
Van Keppel, Dierk~Merriam, Ks~303~Glass
Vernon, Karen~Brenham, Tx~511~Painting/Drawing
Versaggi, Tatjana~Austin, Tx~209~Painting/Drawing
VSA Arts of Texas~Austin, Tx~706~Mixed Media
Water Gives Life~Austin, Tx~405~Fiber/Basketweaving
Wolf, Robert~Houston, Tx~707~Jewelry*
