Adkisson, Carolyn~Ft. Worth, Tx~313~Ceramics*
Anderson, Beth~Round Top, Tx~402,403~Painting~
Andrus, Bill~S. Padre Island, Tx.~504~Leather~
Armadillo Woodworks~Austin, Tx~207~Wood
Arnold, Kathy & Gary~Wimberley, Tx~309~Jewelry
Ashley, Frances~Austin, Tx~206~Painting/Drawing
Athey, Tom~Austin, Tx~514~Photography
Bachers, Gary~New Boston, Tx~102~Painting - VSA Arts~
Baker, Dan & Linda~Dallas, Tx~405~Jewelry*
Bandy, Carl~Green Mountain Falls, Co~303~Fiber
Bandy, Carl~Green Mtn Falls, Co~406~Fiber~
Barber, John~Houston, Tx~411~Metal*~
Bates, Tom~Walberg, Tx~112~Painting/Drawing
Becker, Sabine~El Prado, NM~606~Mixed Media*
Bellah, Mickie~Austin, Tx~402~Painting/Drawing*
Bendall, Jeff~Dripping Springs, Tx~312~Photography
Best of Zuni~Capitan, NM~114,115,116~Jewelry/Fetishes - Zuni~
Best of Zuni~Capitan, NM~204,210,211~Jewelry/Fetishes
Best of Zuni~Capitan, NM~506,507,508~Native American Jewelry/Fetishes
Bettenmann-DeVries~Cedar Park, Tx~401~Jewelry
Blair, Sandra~Hammond, La~311~Painting/Drawing
Bloom, Richard & Deborah*~Portland, Or~304~3-D Mixed Media*~
Blue, Bonnie*~Houston, Tx.~100~3-D Mixed Media*~
Boling, Mark & Anna~San Marcos, Tx~100,101~Wood Furniture
Boling, Ron~New Braunfels, Tx~501~Ceramics~
Boutwell, George~Clifton, Tx~704,705~Painting/Drawing
Brem, Jerry~Lorena, Tx~215~Painting/Drawing
Breternitz, Martha~Austin, Tx~503~Jewelry
Brown, Karen~Nemo, Tx.~113~Painting~
Brown, Karen~Nemo, Tx~413~Painting/Drawing
Buchle, Theresa~Kyle, Tx~306~Jewelry
Buckhout, Diane ~Kingwood, Tx~304~Painting/Drawing
Burnett, Lorie~Diana, Tx~608~Fiber
Bush, Tammie~White Salmon, Wa~308~Ceramics~
Carlin, Susan~San Antonio, Tx~502~Painting/Drawing
Carpenter, Ken~Murchison, Tx~503~Jewelry
Clerc, Cynthia~Austin, Tx~106~Mixed Media
Cobb, Carolynn~Corinth, Tx~112~Glass~
Colburn, Daryl~Austin, Tx~415~Sculpture
Collins, Eileen~Cedar Creek, Tx~602~Ceramics
Condra, Brazos~Pflugerville, Tx~310~Ceramics
Conway, Cie~Wimberley, Tx~412~Sculpture
Cook, Marla~Arlington, Tx~202~3-D Mixed Media
Cook, Marla~Arlington, Tx~409~Mixed Media
Cooper, Charlene~Fair Oaks Ranch, Tx~203~Wood 
Cornwell, Suzanne~Houston, Tx.~509~Jewelry~
Couch, Vicki~San Marcos, Tx~212~Photography~
Curry, Kiki~Dallas, Tx~206~Jewelry~
Cyberski, Joseph~Dexter, Mi~412~Jewelry~
Day, Cherry~Whitehouse, Tx~213~Sculpture
Day, Jim~Whitehouse, Tx~214~Sculpture
Day, Patricia~Dripping Springs, Tx~114~Fiber
Day, Patricia~Dripping Springs, Tx~310~Fiber
Dickinson, Kathleen~Lago Vista, Tx~108~Mixed Media
Dillon, Judy~Austin, Tx~103~Ceramics
Disney, Roger~Edmond, Ok~308~Painting/Drawing
Double K Enterprises~Buda, Tx~314,315~Jewelry
Double K Enterprises~Mountain City, Tx~213,214~Native American Jewelry
Double-K Enterprises~Mountain City, Tx~215,216~Jewelry - Navajo~
Eden, Cles~Austin, Tx~209~Photography
Eden, Jennifer~Austin, Tx~209~Painting/Drawing
Elmore, Don~Waco, Tx~408~Painting/Drawing~
Erlon, Julie*~Red Rock, Tx~110~Glass*~
Erlon, Julie~Red Rock, Tx.~104~Glass*
Erlon, Julie~Red Rock, Tx~602~*Glass/Lampworking
Ernst-Bifano, Sheila~Houston, Tx~102~Mixed Media - VSA Arts~
Etie, Michael J.~Austin, Tx~407~Painting/Drawing
Featherdance Designs~Austin, Tx~309~3-D Mixed Media
Feldmeir, Ann~Wimberley, Tx~417~Ceramics~
Felps, Roger~Blanco, Tx~304~Wood
Felps, Roger~Blanco, Tx~500~Wood
Foley, Lyn~Round Top, Tx~302~Glass/Jewelry~
Frazier, Jan~Hutto, Tx~108~Painting~
Friddle, Joe~Kileen, Tx~609~Painting/Drawing
Friddle, Joe~Killeen, Tx~211~Painting~
Friedman, Rae~San Marcos, Tx~501~Painting/Drawing
Fulton, Mary~Wimberley, Tx~203~Ceramics~
Fuqua, Cindy~Alba, Tx~421~Ceramics~
